"last_name, first_name","player_id","year","xwoba","xobp","exit_velocity_avg","launch_angle_avg","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent"
"Hunter, Torii",116338,2015,".290",".285","88.5","10.8",34.9,72.7,17.1,34,36.2
"Ortiz, David",120074,2015,".420",".388","93","15.7",49.1,70.6,17,26.5,34.9
"Rodriguez, Alex",121347,2015,".368",".355","91.3","12.2",43.9,67.3,26.2,24.3,45.6
"Ramirez, Aramis",133380,2015,".304",".293","87.4","15.8",34.5,73.5,12.2,34.4,28.8
"Beltré, Adrian",134181,2015,".360",".346","89.5","12.6",40.4,62.2,11.2,35.3,25.5
"Beltrán, Carlos",136860,2015,".346",".340","90.6","15.6",41.9,65.5,10.9,28.9,31.5
"Rollins, Jimmy",276519,2015,".285",".296","85.7","16.2",23.1,66.2,11.5,24.8,35.2
"Pujols, Albert",405395,2015,".346",".329","90.7","14.2",38.3,62.9,9.6,29.4,29.4
"Byrd, Marlon",407781,2015,".311",".285","86.3","12.1",31.1,81.4,20.9,41.9,48.5
"Mauer, Joe",408045,2015,".338",".351","89.5","4.4",39.9,57.4,10.7,25.6,29.5
"Cabrera, Miguel",408234,2015,".432",".431","93.8","12.2",53.3,68.1,16.6,27.3,35.5
"González, Adrián",408236,2015,".368",".358","88.8","14.2",36.8,73.7,14.6,32.2,33.3
"Phillips, Brandon",408252,2015,".316",".325","86.2","10.7",26,74,10.7,35.4,35.1
"Reyes, José",408314,2015,".260",".280","84.6","13.4",18.6,67.1,10.8,35.6,25.7
"Peralta, Jhonny",425509,2015,".332",".336","88.2","13.4",34,74.3,15.5,29,40
"Choo, Shin-Soo",425783,2015,".357",".360","90.9","7.7",44.1,63,21.6,22.9,40.4
"Molina, Yadier",425877,2015,".270",".283","86.4","10.4",25.3,74.2,14.3,34,22.7
"Fielder, Prince",425902,2015,".350",".356","90.9","9.9",44.5,70.4,10.5,32.4,36.1
"Canó, Robinson",429664,2015,".356",".344","91","5.5",45.7,71.4,11.1,31.8,34.1
"Encarnación, Edwin",429665,2015,".379",".365","90","16.8",43.9,64.4,17.9,23.2,36.9
"Howard, Ryan",429667,2015,".359",".315","91.3","14.9",45.2,76.3,20.2,37.2,51.2
"Bautista, José",430832,2015,".390",".388","92","16.9",45.6,61.6,15.6,19.6,33.8
"Jones, Adam",430945,2015,".338",".305","88.2","11.3",34.5,81.3,15.5,44,36.7
"Aybar, Erick",430947,2015,".294",".309","85.7","6.6",19.4,68.9,7,38.8,22.9
"Martin, Russell",431145,2015,".333",".330","89.2","9.7",40,59.3,16.6,20.9,45
"Granderson, Curtis",434158,2015,".363",".365","89.4","18.4",40,58.3,14.4,19.4,37.6
"Pagán, Ángel",434636,2015,".281",".296","86.3","11.6",22.6,60.4,8.3,23.7,22.2
"Morales, Kendrys",434778,2015,".374",".360","91.9","10.1",47.4,71.1,13.4,30.2,39.9
"Kinsler, Ian",435079,2015,".311",".323","86.1","17.7",26.6,67,6.8,26,27.4
"McCann, Brian",435263,2015,".307",".313","89.5","17.5",36.5,56.6,9.6,30.4,29
"Walker, Neil",435522,2015,".315",".313","88.9","14",37.6,72,13,30.8,32.4
"Desmond, Ian",435622,2015,".286",".278","90.8","6.4",41.1,67.8,18.7,33.1,48.8
"Cruz, Nelson",443558,2015,".385",".357","92.6","9.2",47.8,69.6,23.7,30.8,43.2
"Trumbo, Mark",444432,2015,".325",".302","92","13.3",43,69.5,21.3,36.1,46.7
"Peralta, David",444482,2015,".355",".350","91.6","6.7",43.4,67.2,13.5,31.3,44.1
"Escobar, Alcides",444876,2015,".281",".300","84.6","9.6",16.5,68.1,11.8,35.4,31.8
"Prado, Martín",445988,2015,".312",".330","89","9.1",33.6,52.1,6.2,25.2,24.3
"Duda, Lucas",446263,2015,".372",".363","91.7","19.8",42.3,62.8,15,27.4,40.7
"Longoria, Evan",446334,2015,".340",".322","89.6","15.4",39.7,65,17.8,29.4,35.9
"Davis, Chris",448801,2015,".403",".364","92","17.5",45.9,70.1,27.8,28.7,51
"Zobrist, Ben",450314,2015,".324",".347","88.6","8.2",34.9,55.4,8.5,21.4,21.4
"Fowler, Dexter",451594,2015,".307",".331","87.2","12.2",30.2,67.1,16.3,19,39.3
"Headley, Chase",452104,2015,".323",".329","86.8","11.9",32.5,64.7,13.1,22.7,42.9
"Lind, Adam",452252,2015,".327",".333","89.5","10.8",36,60.8,12.6,32.2,33.3
"Cabrera, Asdrúbal",452678,2015,".292",".283","88.3","17.3",32.3,74,17.3,37.4,32.1
"Tulowitzki, Troy",453064,2015,".320",".318","90","12.7",40.4,62.8,17.7,28.6,33.7
"Blackmon, Charlie",453568,2015,".318",".326","86.8","15",29,59.6,9,27.6,29.7
"Frazier, Todd",453943,2015,".331",".307","89.6","18.8",38.8,73.5,17.6,35,38.3
"Markakis, Nick",455976,2015,".305",".342","88.3","6.8",33.6,60.4,8.9,25.6,17.1
"Butler, Billy",456714,2015,".335",".325","89.4","8.5",40.6,60.5,10.3,28.8,36.8
"Cain, Lorenzo",456715,2015,".364",".359","90.2","9.5",38.1,67.8,10.7,32.5,34.9
"McCutchen, Andrew",457705,2015,".396",".399","90.6","13.9",44.6,68,20.4,21.6,42.3
"Jackson, Austin",457706,2015,".304",".307","89.6","7.3",39.8,62.2,15.2,24.7,41.2
"Upton, Justin",457708,2015,".330",".323","89.9","16.2",39.2,67,25.5,22.9,49.5
"Maybin, Cameron",457727,2015,".312",".329","88.2","2.1",35.9,61.1,12.5,25.7,40
"Posey, Buster",457763,2015,".377",".376","89","10.8",37.5,69.8,8.4,27,24.6
"Bruce, Jay",457803,2015,".325",".312","89.7","15.6",37.6,73.7,15.4,30.9,41
"Votto, Joey",458015,2015,".422",".443","90.2","11.5",42.2,61.4,20.3,16.7,34.9
"Coghlan, Chris",458085,2015,".325",".337","88.5","11",33.3,66.8,12.9,21.5,40.7
"Gardner, Brett",458731,2015,".332",".346","88.8","11.1",34.9,54.7,13.4,21.8,39.6
"Braun, Ryan",460075,2015,".374",".355","92.3","7.7",45.4,68.8,14.3,35.8,36
"Moss, Brandon",461235,2015,".336",".314","89.1","19.8",39.5,71,19.3,30.9,49.7
"Kemp, Matt",461314,2015,".336",".312","89.5","12",40.5,69.6,19,34.8,39.1
"Plouffe, Trevor",461858,2015,".330",".315","89.8","13.6",39.4,64.7,14.7,24.5,38.4
"Andrus, Elvis",462101,2015,".288",".306","87.3","10.1",27.1,59.3,8.8,25.1,30.7
"Cervelli, Francisco",465041,2015,".325",".337","88.2","6.9",35.6,62,13.9,19.3,36.9
"Cabrera, Melky",466320,2015,".306",".319","89.6","9.7",36.2,62.4,8.9,33.1,21.3
